headword,pos,CEFR
'm,be-verb,A1
're,be-verb,A1
's,be-verb,A1
April,noun,A1
Atlantic,adjective,B1
August,noun,A1
CD,noun,A1
CD player,noun,A1
CD-ROM,noun,B1
CV,noun,B1
Christian,adjective,B1
DJ,noun,B1
DNA,noun,B2
DVD,noun,A1
December,noun,A1
Englishman,noun,B1
February,noun,A1
Friday,noun,A1
HIV,noun,B1
I,pronoun,A1
ID,noun,A2
ID card,noun,A2
IT,noun,A2
Internet/internet,noun,A1
January,noun,A1
July,noun,A1
June,noun,A1
MP3 player,noun,A2
March,noun,A1
May,noun,A1
Mediterranean,noun,B1
Miss,noun,A1
Monday,noun,A1
Mr./Mr,noun,A1
Mrs./Mrs,noun,A1
Ms./Ms,noun,A2
November,noun,A1
OK/okay,adjective,A1
OK/okay,adverb,A1
October,noun,A1
Olympia,noun,B2
Olympiad,noun,B2
Olympic,adjective,A2
Olympics,noun,A1
PC,noun,A2
Saturday,noun,A1
September,noun,A1
Shakespearean,adjective,B2
Soviet,noun,B2
Sunday,noun,A1
T-shirt/tee-shirt,noun,A1
TV,noun,A1
Thursday,noun,A1
Tuesday,noun,A1
Wednesday,noun,A1
X-ray,noun,B2
a,determiner,A1
a.m./A.M./am/AM,adverb,A1
abandon,verb,B1
abandoned,adjective,B2
aberration,noun,C2
abhor,verb,C2
abhorrent,adjective,C2
abhorrently,adverb,C2
ability,noun,A2
abject,adjective,C2
able,adjective,B1
abnormal,adjective,B1
abnormally,adverb,B2
aboard,adverb,B1
aboard,preposition,C1
abolish,verb,B2
aboriginal,adjective,B2
aborigine,noun,B1
abound,verb,C1
about,adverb,A1
about,preposition,A1
above,adjective,B1
above,adverb,A1
above,preposition,A1
abroad,adverb,A2
abruptly,adverb,B2
absence,noun,B1
absent,adjective,B1
absentee,noun,B2
absolute,adjective,B1
absolute,noun,C1
absolutely,adverb,B1
absorb,verb,B1
abstract,adjective,B1
abstraction,noun,C1
absurd,adjective,B2
abundance,noun,B1
abundant,adjective,B1
abundantly,adverb,C2
abuse,noun,B2
academic,adjective,B1
academy,noun,B1
accent,noun,B1
accept,verb,A2
acceptable,adjective,A2
acceptance,noun,B1
access,verb,B2
access,noun,B1
accessibility,noun,B2
accessible,adjective,B1
accessory,noun,B1
accident,noun,A2
accidental,adjective,B1
accidentally,adverb,B1
accommodation,noun,B2
accompany,verb,B1
accomplish,verb,B1
according to,preposition,B1
accordingly,adverb,B2
account,noun,A2
account,verb,B1
accountability,noun,C2
accountant,noun,B1
accrue,verb,C2
accumulate,verb,B2
accuracy,noun,B1
accurate,adjective,B1
accurately,adverb,B1
accusation,noun,B2
accuse,verb,B1
accustom,verb,B1
accustomed,adjective,C1
ache,noun,B1
ache,verb,B2
achievable,adjective,B2
achieve,verb,A2
achievement,noun,B1
acid,noun,B2
acidic,adjective,C1
acknowledge,verb,B1
acknowledgment/acknowledgement,noun,B1
acoustic,adjective,C1
